真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月   服务模型                    月额度(亿)  $/MTok   置信度
141   OpenCode Go                        USD 10    GLM 5.1                     2.007       0.04983  medium
142   Kimi 会员 99 †                     CNY 99    Kimi K3                     2.9         0.05036  medium
143   Command Code GOAT                  USD 10    Gemini 3.8 Flash            1.954       0.05118  medium
144   Command Code GOAT                  USD 10    Gemini 3.7 Flash            1.954       0.05118  medium
145   GLM Coding Max (v3 ¥1078) 忙时     CNY 1078  GLM 5.3                     29.63       0.05367  high
146   GLM Coding Lite (v3 ¥118) 中间值   CNY 118   GLM 5.3                     3.17        0.05491  high
147   Command Code GOAT                  USD 10    Inkling Small               1.779       0.05621  medium
148   SuperGrok                          USD 30    Grok 4.6                    5.09        0.05894  high
149   SuperGrok Heavy                    USD 300   Grok 4.6                    50.9        0.05894  medium
150   SuperGrok Heavy                    USD 300   Grok 4.5                    50.9        0.05894  medium
151   SuperGrok                          USD 30    Grok 4.5                    5.09        0.05894  medium
152   GLM Coding Pro (v3 ¥538) 忙时      CNY 538   GLM 5.3                     12.7        0.06249  high
153   Cursor Ultra (Fast)                USD 200   Grok 4.6                    30.74       0.06506  high
154   SuperGrok Lite                     USD 10    Grok 4.6                    1.5         0.06667  low
155   Command Code GOAT                  USD 10    Nemotron 3 Ultra            1.446       0.06916  medium
156   Ollama Max                         USD 100   Kimi K2.7 Code              13.657      0.07322  medium
157   Ollama Pro                         USD 20    Kimi K2.7 Code              2.731       0.07323  medium
158   Ollama Pro                         USD 20    GLM 5.1                     2.635       0.0759   medium
159   Ollama Max                         USD 100   GLM 5.1                     13.175      0.0759   medium
160   GLM Coding Lite (v3 ¥118) 忙时     CNY 118   GLM 5.3                     2.12        0.08211  high
161   DeepSeek V4 Pro API 忙时           按量计费  DeepSeek V4 Pro             -           0.08514  high
162   Kimi 会员 49 †                     CNY 49    Kimi K2.7 Code              0.78        0.09267  medium
163   Command Code GOAT                  USD 10    Muse Spark 1.3              1.064       0.09398  medium
164   Command Code GOAT                  USD 10    Muse Spark 1.2              1.064       0.09398  medium
165   Ollama Pro                         USD 20    GLM 5.3                     2.007       0.09965  medium
166   Ollama Pro                         USD 20    GLM 5.2                     2.007       0.09965  medium
167   Ollama Max                         USD 100   GLM 5.3                     10.033      0.09967  medium
168   Ollama Max                         USD 100   GLM 5.2                     10.033      0.09967  medium
169   Command Code GOAT                  USD 10    GPT 5.6 Sol                 1           0.1      medium
170   Command Code GOAT                  USD 10    Inkling                     0.993       0.1007   medium
171   Claude Max 5x (9/14+)              USD 100   Claude Fable 5              9.235       0.10828  low
172   Ollama Max                         USD 100   Kimi K3                     7.326       0.1365   medium
173   Ollama Pro                         USD 20    Kimi K3                     1.465       0.13652  medium
174   阿里云百炼 Coding Plan Pro         CNY 200   Qwen3.7 Plus                1.98        0.14901  medium
175   Command Code GOAT                  USD 10    GLM 5.3                     0.669       0.14948  medium
176   Command Code GOAT                  USD 10    Qwen3.8 Max                 0.65        0.15385  medium
177   Command Code GOAT                  USD 10    Qwen3.8 Max 0902            0.65        0.15385  medium
178   Claude Max 20x (9/14+)             USD 200   Claude Fable 5              12.077      0.1656   low
179   Command Code GOAT                  USD 10    Qwen3.7 Max                 0.581       0.17212  medium
180   OpenCode Go                        USD 10    Qwen3.7 Max                 0.529       0.18904  medium
181   OpenCode Go                        USD 10    GLM 5.3                     0.502       0.1992   medium
182   Command Code GOAT                  USD 10    Kimi K3                     0.488       0.20492  medium
183   OpenCode Go                        USD 10    Qwen3.8 Max                 0.487       0.20534  medium
184   Command Code GOAT                  USD 10    Kimi K2.7 Code HighSpeed    0.455       0.21978  medium
185   Alibaba Cloud Coding Plan Pro      USD 50    Qwen3.7 Plus                1.98        0.25253  low
186   Claude Sonnet 5 API                按量计费  Claude Sonnet 5             -           0.273    high
187   OpenCode Go                        USD 10    Kimi K3                     0.366       0.27322  medium
188   Command Code GOAT                  USD 10    Grok 4.5                    0.363       0.27548  medium
189   Command Code GOAT                  USD 10    Grok 4.6                    0.363       0.27548  medium
190   GPT-5.6 Terra API                  按量计费  GPT 5.6 Terra               -           0.28     high
191   Command Code GOAT                  USD 10    GLM 5.2 Fast                0.34        0.29412  medium
192   OpenCode Go                        USD 10    Grok 4.6                    0.272       0.36765  medium
193   GPT-5.6 Sol API                    按量计费  GPT 5.6 Sol                 -           0.546    high
194   Grok 4.6 API (<200k)               按量计费  Grok 4.6                    -           0.5515   high
195   Claude Opus 5 API                  按量计费  Claude Opus 5               -           0.6825   high
196   Claude Fable 5 API                 按量计费  Claude Fable 5              -           1.365    high
